dair	dair(POSTP.invar)
beriki	beri(POSTP),num.sg,case.nom,<ki>
berideki	beri(POSTP),num.sg,case.loc,<ki>
beridedir	beri(POSTP),num.sg,case.loc,predic.pres.3p.sg
beridedirler	beri(POSTP),num.sg,case.loc,predic.pres.3p.pl
beridelerdi	beri(POSTP),num.sg,case.loc,predic.perf.3p.pl
beridelerdir	beri(POSTP),num.sg,case.loc,predic.pres.3p.pl
beridelermiş	beri(POSTP),num.sg,case.loc,predic.evid.3p.pl
beridelerse	beri(POSTP),num.sg,case.loc,predic.cond.3p.pl
beriden	beri(POSTP),num.sg,case.abl
beridesin	beri(POSTP),num.sg,case.loc,predic.pres.2p.sg
beridesiniz	beri(POSTP),num.sg,case.loc,predic.pres.2p.pl
berideydi	beri(POSTP),num.sg,case.loc,predic.perf.3p.sg
berideydik	beri(POSTP),num.sg,case.loc,predic.perf.1p.pl
berideydiler	beri(POSTP),num.sg,case.loc,predic.perf.3p.pl
berideydim	beri(POSTP),num.sg,case.loc,predic.perf.1p.sg
berideydin	beri(POSTP),num.sg,case.loc,predic.perf.2p.sg
berideydiniz	beri(POSTP),num.sg,case.loc,predic.perf.2p.pl
berideyim	beri(POSTP),num.sg,case.loc,predic.pres.1p.sg
berideyiz	beri(POSTP),num.sg,case.loc,predic.pres.1p.pl
berideymiş	beri(POSTP),num.sg,case.loc,predic.evid.3p.sg
berideymişim	beri(POSTP),num.sg,case.loc,predic.evid.1p.sg
berideymişiz	beri(POSTP),num.sg,case.loc,predic.evid.1p.pl
berideymişler	beri(POSTP),num.sg,case.loc,predic.evid.3p.pl
berideymişsin	beri(POSTP),num.sg,case.loc,predic.evid.2p.sg
berideymişsiniz	beri(POSTP),num.sg,case.loc,predic.evid.2p.pl
berideyse	beri(POSTP),num.sg,case.loc,predic.cond.3p.sg
berideysek	beri(POSTP),num.sg,case.loc,predic.cond.1p.pl
berideyseler	beri(POSTP),num.sg,case.loc,predic.cond.3p.pl
berideysem	beri(POSTP),num.sg,case.loc,predic.cond.1p.sg
berideysen	beri(POSTP),num.sg,case.loc,predic.cond.2p.sg
berideyseniz	beri(POSTP),num.sg,case.loc,predic.cond.2p.pl
beridir	beri(POSTP),num.sg,case.nom,predic.pres.3p.sg
beridirler	beri(POSTP),num.sg,case.nom,predic.pres.3p.pl
beriler	beri(POSTP),num.pl,case.nom
berilerde	beri(POSTP),num.pl,case.loc
berilerdedir	beri(POSTP),num.pl,case.loc,predic.pres.3p.sg
berilerdedirler	beri(POSTP),num.pl,case.loc,predic.pres.3p.pl
berilerdelerdi	beri(POSTP),num.pl,case.loc,predic.perf.3p.pl
berilerdelerdir	beri(POSTP),num.pl,case.loc,predic.pres.3p.pl
berilerdelermiş	beri(POSTP),num.pl,case.loc,predic.evid.3p.pl
berilerdelerse	beri(POSTP),num.pl,case.loc,predic.cond.3p.pl
berilerden	beri(POSTP),num.pl,case.abl
berilerdesin	beri(POSTP),num.pl,case.loc,predic.pres.2p.sg
berilerdesiniz	beri(POSTP),num.pl,case.loc,predic.pres.2p.pl
berilerdeydi	beri(POSTP),num.pl,case.loc,predic.perf.3p.sg
berilerdeydik	beri(POSTP),num.pl,case.loc,predic.perf.1p.pl
berilerdeydiler	beri(POSTP),num.pl,case.loc,predic.perf.3p.pl
berilerdeydim	beri(POSTP),num.pl,case.loc,predic.perf.1p.sg
berilerdeydin	beri(POSTP),num.pl,case.loc,predic.perf.2p.sg
berilerdeydiniz	beri(POSTP),num.pl,case.loc,predic.perf.2p.pl
berilerdeyim	beri(POSTP),num.pl,case.loc,predic.pres.1p.sg
berilerdeyiz	beri(POSTP),num.pl,case.loc,predic.pres.1p.pl
berilerdeymiş	beri(POSTP),num.pl,case.loc,predic.evid.3p.sg
berilerdeymişim	beri(POSTP),num.pl,case.loc,predic.evid.1p.sg
berilerdeymişiz	beri(POSTP),num.pl,case.loc,predic.evid.1p.pl
berilerdeymişler	beri(POSTP),num.pl,case.loc,predic.evid.3p.pl
berilerdeymişsin	beri(POSTP),num.pl,case.loc,predic.evid.2p.sg
berilerdeymişsiniz	beri(POSTP),num.pl,case.loc,predic.evid.2p.pl
berilerdeyse	beri(POSTP),num.pl,case.loc,predic.cond.3p.sg
berilerdeysek	beri(POSTP),num.pl,case.loc,predic.cond.1p.pl
berilerdeyseler	beri(POSTP),num.pl,case.loc,predic.cond.3p.pl
berilerdeysem	beri(POSTP),num.pl,case.loc,predic.cond.1p.sg
berilerdeysen	beri(POSTP),num.pl,case.loc,predic.cond.2p.sg
berilerdeyseniz	beri(POSTP),num.pl,case.loc,predic.cond.2p.pl
berilerdi	beri(POSTP),num.pl,case.nom,predic.perf.3p.sg
berilerdi	beri(POSTP),num.sg,case.nom,predic.perf.3p.pl
berilerdik	beri(POSTP),num.pl,case.nom,predic.perf.1p.pl
berilerdiler	beri(POSTP),num.pl,case.nom,predic.perf.3p.pl
berilerdim	beri(POSTP),num.pl,case.nom,predic.perf.1p.sg
berilerdin	beri(POSTP),num.pl,case.nom,predic.perf.2p.sg
berilerdiniz	beri(POSTP),num.pl,case.nom,predic.perf.2p.pl
berilerdir	beri(POSTP),num.pl,case.nom,predic.pres.3p.sg
berilerdir	beri(POSTP),num.sg,case.nom,predic.pres.3p.pl
berilerdirler	beri(POSTP),num.pl,case.nom,predic.pres.3p.pl
berilere	beri(POSTP),num.pl,case.dat
berileri	beri(POSTP),num.pl,case.acc
berileri	beri(POSTP),num.pl,poss.3p.pl,case.nom
berileri	beri(POSTP),num.pl,poss.3p.sg,case.nom
berileri	beri(POSTP),num.sg,poss.3p.pl,case.nom
berileridir	beri(POSTP),num.pl,poss.3p.pl,case.nom,predic.pres.3p.sg
berileridir	beri(POSTP),num.pl,poss.3p.sg,case.nom,predic.pres.3p.sg
berileridir	beri(POSTP),num.sg,poss.3p.pl,case.nom,predic.pres.3p.sg
berileridirler	beri(POSTP),num.pl,poss.3p.pl,case.nom,predic.pres.3p.pl
berileridirler	beri(POSTP),num.pl,poss.3p.sg,case.nom,predic.pres.3p.pl
berileridirler	beri(POSTP),num.sg,poss.3p.pl,case.nom,predic.pres.3p.pl
berilerilerdi	beri(POSTP),num.pl,poss.3p.pl,case.nom,predic.perf.3p.pl
berilerilerdi	beri(POSTP),num.pl,poss.3p.sg,case.nom,predic.perf.3p.pl
berilerilerdi	beri(POSTP),num.sg,poss.3p.pl,case.nom,predic.perf.3p.pl
berilerilerdir	beri(POSTP),num.pl,poss.3p.pl,case.nom,predic.pres.3p.pl
berilerilerdir	beri(POSTP),num.pl,poss.3p.sg,case.nom,predic.pres.3p.pl
berilerilerdir	beri(POSTP),num.sg,poss.3p.pl,case.nom,predic.pres.3p.pl
berilerilermiş	beri(POSTP),num.pl,poss.3p.pl,case.nom,predic.evid.3p.pl
berilerilermiş	beri(POSTP),num.pl,poss.3p.sg,case.nom,predic.evid.3p.pl
berilerilermiş	beri(POSTP),num.sg,poss.3p.pl,case.nom,predic.evid.3p.pl
berilerilerse	beri(POSTP),num.pl,poss.3p.pl,case.nom,predic.cond.3p.pl
berilerilerse	beri(POSTP),num.pl,poss.3p.sg,case.nom,predic.cond.3p.pl
berilerilerse	beri(POSTP),num.sg,poss.3p.pl,case.nom,predic.cond.3p.pl
berilerim	beri(POSTP),num.pl,case.nom,predic.pres.1p.sg
berilerim	beri(POSTP),num.pl,poss.1p.sg,case.nom
berilerimde	beri(POSTP),num.pl,poss.1p.sg,case.loc
berilerimdedir	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.pres.3p.sg
berilerimdedirler	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.pres.3p.pl
berilerimdelerdi	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.perf.3p.pl
berilerimdelerdir	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.pres.3p.pl
berilerimdelermiş	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.evid.3p.pl
berilerimdelerse	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.cond.3p.pl
berilerimden	beri(POSTP),num.pl,poss.1p.sg,case.abl
berilerimdesin	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.pres.2p.sg
berilerimdesiniz	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.pres.2p.pl
berilerimdeydi	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.perf.3p.sg
berilerimdeydik	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.perf.1p.pl
berilerimdeydiler	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.perf.3p.pl
berilerimdeydim	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.perf.1p.sg
berilerimdeydin	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.perf.2p.sg
berilerimdeydiniz	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.perf.2p.pl
berilerimdeyim	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.pres.1p.sg
berilerimdeyiz	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.pres.1p.pl
berilerimdeymiş	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.evid.3p.sg
berilerimdeymişim	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.evid.1p.sg
berilerimdeymişiz	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.evid.1p.pl
berilerimdeymişler	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.evid.3p.pl
berilerimdeymişsin	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.evid.2p.sg
berilerimdeymişsiniz	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.evid.2p.pl
berilerimdeyse	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.cond.3p.sg
berilerimdeysek	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.cond.1p.pl
berilerimdeyseler	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.cond.3p.pl
berilerimdeysem	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.cond.1p.sg
berilerimdeysen	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.cond.2p.sg
berilerimdeyseniz	beri(POSTP),num.pl,poss.1p.sg,case.loc,predic.cond.2p.pl
berilerimdi	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.perf.3p.sg
berilerimdik	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.perf.1p.pl
berilerimdiler	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.perf.3p.pl
berilerimdim	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.perf.1p.sg
berilerimdin	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.perf.2p.sg
berilerimdiniz	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.perf.2p.pl
berilerimdir	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.pres.3p.sg
berilerimdirler	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.pres.3p.pl
berilerime	beri(POSTP),num.pl,poss.1p.sg,case.dat
berilerimi	beri(POSTP),num.pl,poss.1p.sg,case.acc
berilerimim	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.pres.1p.sg
berilerimin	beri(POSTP),num.pl,poss.1p.sg,case.gen
berilerimiz	beri(POSTP),num.pl,poss.1p.pl,case.nom
berilerimiz	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.pres.1p.pl
berilerimizde	beri(POSTP),num.pl,poss.1p.pl,case.loc
berilerimizdedir	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.pres.3p.sg
berilerimizdedirler	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.pres.3p.pl
berilerimizdelerdi	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.perf.3p.pl
berilerimizdelerdir	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.pres.3p.pl
berilerimizdelermiş	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.evid.3p.pl
berilerimizdelerse	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.cond.3p.pl
berilerimizden	beri(POSTP),num.pl,poss.1p.pl,case.abl
berilerimizdesin	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.pres.2p.sg
berilerimizdesiniz	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.pres.2p.pl
berilerimizdeydi	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.perf.3p.sg
berilerimizdeydik	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.perf.1p.pl
berilerimizdeydiler	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.perf.3p.pl
berilerimizdeydim	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.perf.1p.sg
berilerimizdeydin	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.perf.2p.sg
berilerimizdeydiniz	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.perf.2p.pl
berilerimizdeyim	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.pres.1p.sg
berilerimizdeyiz	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.pres.1p.pl
berilerimizdeymiş	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.evid.3p.sg
berilerimizdeymişim	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.evid.1p.sg
berilerimizdeymişiz	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.evid.1p.pl
berilerimizdeymişler	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.evid.3p.pl
berilerimizdeymişsin	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.evid.2p.sg
berilerimizdeymişsiniz	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.evid.2p.pl
berilerimizdeyse	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.cond.3p.sg
berilerimizdeysek	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.cond.1p.pl
berilerimizdeyseler	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.cond.3p.pl
berilerimizdeysem	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.cond.1p.sg
berilerimizdeysen	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.cond.2p.sg
berilerimizdeyseniz	beri(POSTP),num.pl,poss.1p.pl,case.loc,predic.cond.2p.pl
berilerimizdi	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.perf.3p.sg
berilerimizdik	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.perf.1p.pl
berilerimizdiler	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.perf.3p.pl
berilerimizdim	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.perf.1p.sg
berilerimizdin	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.perf.2p.sg
berilerimizdiniz	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.perf.2p.pl
berilerimizdir	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.pres.3p.sg
berilerimizdirler	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.pres.3p.pl
berilerimize	beri(POSTP),num.pl,poss.1p.pl,case.dat
berilerimizi	beri(POSTP),num.pl,poss.1p.pl,case.acc
berilerimizim	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.pres.1p.sg
berilerimizin	beri(POSTP),num.pl,poss.1p.pl,case.gen
berilerimiziz	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.pres.1p.pl
berilerimizle	beri(POSTP),num.pl,poss.1p.pl,case.instr
berilerimizlerdi	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.perf.3p.pl
berilerimizlerdir	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.pres.3p.pl
berilerimizlermiş	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.evid.3p.pl
berilerimizlerse	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.cond.3p.pl
berilerimizmiş	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.evid.3p.sg
berilerimizmişim	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.evid.1p.sg
berilerimizmişiz	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.evid.1p.pl
berilerimizmişler	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.evid.3p.pl
berilerimizmişsin	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.evid.2p.sg
berilerimizmişsiniz	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.evid.2p.pl
berilerimizse	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.cond.3p.sg
berilerimizsek	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.cond.1p.pl
berilerimizseler	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.cond.3p.pl
berilerimizsem	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.cond.1p.sg
berilerimizsen	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.cond.2p.sg
berilerimizseniz	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.cond.2p.pl
berilerimizsin	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.pres.2p.sg
berilerimizsiniz	beri(POSTP),num.pl,poss.1p.pl,case.nom,predic.pres.2p.pl
berilerimle	beri(POSTP),num.pl,poss.1p.sg,case.instr
berilerimlerdi	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.perf.3p.pl
berilerimlerdir	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.pres.3p.pl
berilerimlermiş	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.evid.3p.pl
berilerimlerse	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.cond.3p.pl
berilerimmiş	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.evid.3p.sg
berilerimmişim	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.evid.1p.sg
berilerimmişiz	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.evid.1p.pl
berilerimmişler	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.evid.3p.pl
berilerimmişsin	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.evid.2p.sg
berilerimmişsiniz	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.evid.2p.pl
berilerimse	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.cond.3p.sg
berilerimsek	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.cond.1p.pl
berilerimseler	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.cond.3p.pl
berilerimsem	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.cond.1p.sg
berilerimsen	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.cond.2p.sg
berilerimseniz	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.cond.2p.pl
berilerimsin	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.pres.2p.sg
berilerimsiniz	beri(POSTP),num.pl,poss.1p.sg,case.nom,predic.pres.2p.pl
berilerin	beri(POSTP),num.pl,case.gen
berilerin	beri(POSTP),num.pl,poss.2p.sg,case.nom
berilerinde	beri(POSTP),num.pl,poss.2p.sg,case.loc
berilerinde	beri(POSTP),num.pl,poss.3p.pl,case.loc
berilerinde	beri(POSTP),num.pl,poss.3p.sg,case.loc
berilerinde	beri(POSTP),num.sg,poss.3p.pl,case.loc
berilerindedir	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.pres.3p.sg
berilerindedir	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.pres.3p.sg
berilerindedir	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.pres.3p.sg
berilerindedir	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.pres.3p.sg
berilerindedirler	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.pres.3p.pl
berilerindedirler	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.pres.3p.pl
berilerindedirler	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.pres.3p.pl
berilerindedirler	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.pres.3p.pl
berilerindelerdi	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.perf.3p.pl
berilerindelerdi	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.3p.pl
berilerindelerdi	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.3p.pl
berilerindelerdi	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.3p.pl
berilerindelerdir	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.pres.3p.pl
berilerindelerdir	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.pres.3p.pl
berilerindelerdir	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.pres.3p.pl
berilerindelerdir	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.pres.3p.pl
berilerindelermiş	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.3p.pl
berilerindelermiş	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.3p.pl
berilerindelermiş	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.3p.pl
berilerindelermiş	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.3p.pl
berilerindelerse	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.cond.3p.pl
berilerindelerse	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.cond.3p.pl
berilerindelerse	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.cond.3p.pl
berilerindelerse	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.cond.3p.pl
berilerinden	beri(POSTP),num.pl,poss.2p.sg,case.abl
berilerinden	beri(POSTP),num.pl,poss.3p.pl,case.abl
berilerinden	beri(POSTP),num.pl,poss.3p.sg,case.abl
berilerinden	beri(POSTP),num.sg,poss.3p.pl,case.abl
berilerindesin	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.pres.2p.sg
berilerindesin	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.pres.2p.sg
berilerindesin	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.pres.2p.sg
berilerindesin	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.pres.2p.sg
berilerindesiniz	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.pres.2p.pl
berilerindesiniz	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.pres.2p.pl
berilerindesiniz	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.pres.2p.pl
berilerindesiniz	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.pres.2p.pl
berilerindeydi	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.perf.3p.sg
berilerindeydi	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.3p.sg
berilerindeydi	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.3p.sg
berilerindeydi	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.3p.sg
berilerindeydik	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.perf.1p.pl
berilerindeydik	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.1p.pl
berilerindeydik	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.1p.pl
berilerindeydik	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.1p.pl
berilerindeydiler	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.perf.3p.pl
berilerindeydiler	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.3p.pl
berilerindeydiler	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.3p.pl
berilerindeydiler	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.3p.pl
berilerindeydim	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.perf.1p.sg
berilerindeydim	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.1p.sg
berilerindeydim	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.1p.sg
berilerindeydim	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.1p.sg
berilerindeydin	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.perf.2p.sg
berilerindeydin	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.2p.sg
berilerindeydin	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.2p.sg
berilerindeydin	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.2p.sg
berilerindeydiniz	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.perf.2p.pl
berilerindeydiniz	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.perf.2p.pl
berilerindeydiniz	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.perf.2p.pl
berilerindeydiniz	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.perf.2p.pl
berilerindeyim	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.pres.1p.sg
berilerindeyim	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.pres.1p.sg
berilerindeyim	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.pres.1p.sg
berilerindeyim	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.pres.1p.sg
berilerindeyiz	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.pres.1p.pl
berilerindeyiz	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.pres.1p.pl
berilerindeyiz	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.pres.1p.pl
berilerindeyiz	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.pres.1p.pl
berilerindeymiş	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.3p.sg
berilerindeymiş	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.3p.sg
berilerindeymiş	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.3p.sg
berilerindeymiş	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.3p.sg
berilerindeymişim	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.1p.sg
berilerindeymişim	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.1p.sg
berilerindeymişim	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.1p.sg
berilerindeymişim	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.1p.sg
berilerindeymişiz	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.1p.pl
berilerindeymişiz	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.1p.pl
berilerindeymişiz	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.1p.pl
berilerindeymişiz	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.1p.pl
berilerindeymişler	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.3p.pl
berilerindeymişler	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.3p.pl
berilerindeymişler	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.3p.pl
berilerindeymişler	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.3p.pl
berilerindeymişsin	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.2p.sg
berilerindeymişsin	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.2p.sg
berilerindeymişsin	beri(POSTP),num.pl,poss.3p.sg,case.loc,predic.evid.2p.sg
berilerindeymişsin	beri(POSTP),num.sg,poss.3p.pl,case.loc,predic.evid.2p.sg
berilerindeymişsiniz	beri(POSTP),num.pl,poss.2p.sg,case.loc,predic.evid.2p.pl
berilerindeymişsiniz	beri(POSTP),num.pl,poss.3p.pl,case.loc,predic.evid.2p.pl
